"Chicken Chow Mein With Noodles","chicken piece","onion","carrot","broccoli","cauliflower","bean sprout","oyster sauce","black bean sauce","soy sauce","cornflour","chinese noodle","garlic","ginger","peanut oil","salt"
"Broccoli Pork","garlic","onion","lemon juice","soy sauce","honey","olive oil","pork tenderloin","chicken broth","broccoli floret","cornstarch","water","lemon peel"
"Plum Sauce","red bell pepper","plum","cider vinegar","water","white sugar","brown sugar","light corn syrup","garlic","gingerroot","kosher salt","onion","dried hot chili","cinnamon stick"
"Chinese Chicken and Broccoli","chicken breast","cornstarch","pepper","green onion","carrot","black bean garlic sauce","garlic","gingerroot","sugar","broccoli","fat-free chicken broth"
"Sweet &amp; Sour Pork","pork","green pepper","onion","pineapple chunk","brown sugar","cornstarch","vinegar","soy sauce"
"Mom L's Pork Subgum","lean pork","olive oil","green onion","green pepper","mushroom","chop suey vegetable","water chestnut","chicken broth","cornstarch","salt and pepper","soy sauce"
"Vegetable Fried Rice","egg","salt","low-sodium soy sauce","peanut oil","brown sugar","celery","onion","mushroom","garlic","long-grain rice","frozen english pea"
"Quick &amp; Easy Cashew Chicken","chicken breast","onion","chinese vegetable","garlic powder","onion powder","cumin powder","sesame oil"
"Braised Chicken in Soya Sauce","chicken leg","dark soya sauce","sugar","cornflour","sweet onion","shiitake mushroom","ginger","garlic","cinnamon","clove","star anise","peppercorn","salt","dark soya sauce","chicken stock","cooking oil","coriander leaf"
"Sweet & Sour Chicken/Pork","pork chop","pineapple chunk in juice","onion","green pepper","garlic powder","ginger powder","onion powder","cumin powder","sesame oil"
"Bergy Dim Sum #2, Pork &amp; Prawn Wraps","ground pork","prawn","cabbage","egg","cornstarch","shallot","soy sauce","sesame oil","wonton wrapper"
"Bergy Dim Sum #1, Pork & Lettuce Rolls","pork","crab","mushroom","shallot","lite olive oil","sesame seed oil","soy sauce","oyster sauce","dry sherry","lettuce leaf"
"Bergy Dim Sum #4 Roasted Spareribs","pork sparerib","garlic","dry sherry","sugar","vegetable oil","sesame oil","water"
"Sweet and Sour Ribs","pork rib","vegetable oil","soy sauce","white vinegar","brown sugar","green bell pepper","red bell pepper","onion","ketchup"
"Bergy Dim Sum #7, Mandarin Pancakes","all-purpose flour","boiling water","sesame oil"
"Bergy Dim Sum #5, Steamed Shrimp Dumplings","all-purpose flour","salt","boiling water","shrimp","water chestnut","light soy sauce","sugar","cornstarch","pepper"
"Bergy Dim Sum #10, Honey Soy Braised Chicken Wings","chicken wing","peanut oil","dark soy sauce","honey","dry sherry","garlic","ginger"
"Fried Rice","pea","carrot","egg","cooking oil","salt","rice","soy sauce"
"Bergy Dim Sum #6 Steamed sweet Bean Buns","all-purpose flour","baking powder","caster sugar","water","white vinegar","sesame oil"
